10,1,-0.0014,0.0004,100.0,518.67,641.92,1587.93,1392.2,14.62,21.61,554.37,2388.0,9051.46,1.3,47.05,522.54,2388.01,8137.61,8.4039,0.03,391,2388,100.0,39.04,23.5309
10,2,0.0009,0.0005,100.0,518.67,642.22,1586.81,1392.03,14.62,21.61,554.76,2388.06,9057.03,1.3,47.2,523.04,2388.04,8142.57,8.3868,0.03,390,2388,100.0,39.05,23.3106
10,3,0.0009,-0.0,100.0,518.67,642.16,1581.06,1395.51,14.62,21.61,554.42,2388.01,9047.45,1.3,47.19,522.22,2387.97,8136.85,8.4422,0.03,392,2388,100.0,39.01,23.5053
10,4,0.001,0.0004,100.0,518.67,642.14,1590.17,1388.15,14.62,21.61,554.19,2387.99,9057.43,1.3,47.11,522.51,2388.03,8136.62,8.3928,0.03,391,2388,100.0,38.83,23.3314
10,5,-0.002,-0.0003,100.0,518.67,642.13,1581.09,1396.37,14.62,21.6,554.26,2387.96,9046.16,1.3,47.2,522.29,2388.01,8138.95,8.3879,0.03,392,2388,100.0,39.06,23.4651
10,6,0.0032,0.0004,100.0,518.67,641.99,1585.13,1394.91,14.62,21.61,554.48,2388.02,9054.59,1.3,47.03,522.36,2388.02,8142.12,8.383,0.03,390,2388,100.0,39.08,23.3655
10,7,-0.0017,0.0002,100.0,518.67,642.44,1582.96,1394.26,14.62,21.61,555.06,2388.01,9051.7,1.3,47.22,522.87,2388.03,8139.16,8.3977,0.03,391,2388,100.0,38.99,23.4053
10,8,0.0011,-0.0003,100.0,518.67,641.61,1584.53,1392.39,14.62,21.61,554.28,2388.03,9055.99,1.3,47.24,522.29,2388.0,8136.8,8.3813,0.03,391,2388,100.0,39.18,23.4135
10,9,0.0019,0.0003,100.0,518.67,641.78,1580.52,1401.27,14.62,21.61,554.27,2388.03,9055.41,1.3,47.04,522.29,2387.97,8136.08,8.3836,0.03,392,2388,100.0,38.98,23.4868
10,10,-0.0025,-0.0001,100.0,518.67,642.02,1581.9,1398.55,14.62,21.61,555.23,2388.0,9052.61,1.3,47.12,522.25,2388.0,8138.6,8.3644,0.03,392,2388,100.0,38.93,23.3787
10,11,0.0002,0.0005,100.0,518.67,642.48,1585.62,1400.69,14.62,21.61,553.8,2388.02,9047.32,1.3,47.16,522.62,2387.97,8135.34,8.3862,0.03,391,2388,100.0,38.86,23.4401
10,12,0.0017,0.0001,100.0,518.67,642.2,1591.59,1396.26,14.62,21.61,554.67,2388.0,9049.4,1.3,46.99,522.68,2387.99,8137.7,8.3809,0.03,392,2388,100.0,39.03,23.4179
10,13,0.0022,0.0,100.0,518.67,641.98,1578.1,1395.18,14.62,21.6,554.77,2387.99,9048.49,1.3,47.18,522.03,2387.99,8135.65,8.3773,0.03,391,2388,100.0,38.89,23.3528
10,14,0.0013,0.0005,100.0,518.67,642.03,1583.94,1400.37,14.62,21.61,553.95,2388.06,9043.1,1.3,47.09,522.28,2388.02,8138.34,8.3997,0.03,393,2388,100.0,39.12,23.3564
10,15,-0.0074,0.0001,100.0,518.67,642.3,1586.21,1393.99,14.62,21.61,554.72,2388.02,9050.98,1.3,47.18,522.69,2388.02,8138.43,8.4346,0.03,393,2388,100.0,39.0,23.4487
