55,1,0.0002,-0.0003,100.0,518.67,642.58,1583.77,1407.45,14.62,21.61,554.39,2388.1,9041.62,1.3,47.39,521.5,2388.1,8133.23,8.4287,0.03,393,2388,100.0,38.95,23.3957
55,2,0.0021,0.0,100.0,518.67,642.14,1588.23,1414.47,14.62,21.61,553.77,2388.1,9047.71,1.3,47.33,521.33,2388.1,8135.6,8.3795,0.03,392,2388,100.0,38.86,23.3376
55,3,0.0012,-0.0,100.0,518.67,642.58,1591.48,1394.99,14.62,21.61,553.52,2388.11,9050.16,1.3,47.44,522.29,2388.12,8129.66,8.4301,0.03,392,2388,100.0,38.92,23.3784
55,4,-0.0049,0.0003,100.0,518.67,643.13,1587.15,1403.6,14.62,21.61,553.53,2388.07,9051.83,1.3,47.4,521.97,2388.08,8132.87,8.411,0.03,394,2388,100.0,38.82,23.3387
55,5,0.0019,-0.0005,100.0,518.67,642.29,1585.74,1403.63,14.62,21.61,553.81,2388.09,9053.23,1.3,47.31,522.02,2388.09,8132.97,8.4194,0.03,393,2388,100.0,38.86,23.3548
55,6,-0.0021,0.0003,100.0,518.67,642.37,1581.14,1413.67,14.62,21.61,553.89,2388.12,9052.13,1.3,47.51,520.98,2388.09,8132.56,8.4479,0.03,392,2388,100.0,38.96,23.2253
55,7,-0.0007,-0.0003,100.0,518.67,642.07,1582.69,1405.68,14.62,21.61,553.9,2388.11,9048.01,1.3,47.17,521.41,2388.11,8131.33,8.4513,0.03,393,2388,100.0,38.95,23.4041
55,8,-0.004,-0.0004,100.0,518.67,642.26,1584.97,1408.63,14.62,21.61,553.4,2388.12,9049.0,1.3,47.36,521.62,2388.06,8134.86,8.4656,0.03,392,2388,100.0,38.98,23.3927
55,9,-0.0003,0.0004,100.0,518.67,642.34,1597.86,1403.04,14.62,21.61,553.32,2388.0,9056.21,1.3,47.58,522.2,2388.08,8127.95,8.4383,0.03,394,2388,100.0,38.74,23.3623
55,10,-0.0024,0.0001,100.0,518.67,642.43,1589.78,1398.95,14.62,21.61,553.54,2388.08,9052.89,1.3,47.38,521.66,2388.07,8135.85,8.4329,0.03,392,2388,100.0,38.94,23.1844
55,11,0.0001,0.0002,100.0,518.67,642.76,1583.23,1402.85,14.62,21.61,553.95,2388.09,9052.67,1.3,47.55,521.93,2388.07,8135.55,8.417,0.03,393,2388,100.0,38.78,23.3875
55,12,0.0013,-0.0004,100.0,518.67,642.1,1592.64,1403.54,14.62,21.61,553.45,2388.11,9050.97,1.3,47.37,521.57,2388.12,8131.79,8.4243,0.03,392,2388,100.0,38.95,23.2287
55,13,-0.0039,-0.0002,100.0,518.67,642.1,1595.2,1401.58,14.62,21.61,553.31,2388.12,9044.03,1.3,47.41,521.45,2388.09,8133.91,8.4336,0.03,392,2388,100.0,38.88,23.1794
55,14,-0.0007,0.0002,100.0,518.67,642.31,1591.19,1403.01,14.62,21.61,554.31,2388.09,9046.62,1.3,47.36,521.02,2388.08,8133.87,8.4327,0.03,394,2388,100.0,38.74,23.368
55,15,0.0002,0.0001,100.0,518.67,642.85,1580.98,1401.38,14.62,21.61,553.45,2388.08,9049.05,1.3,47.44,521.55,2388.11,8136.76,8.4628,0.03,393,2388,100.0,38.77,23.2677
55,16,-0.0008,0.0,100.0,518.67,642.82,1597.64,1410.09,14.62,21.61,553.78,2388.05,9051.28,1.3,47.65,522.1,2388.07,8128.68,8.4224,0.03,393,2388,100.0,38.83,23.2318
55,17,0.002,-0.0004,100.0,518.67,642.36,1590.75,1403.37,14.62,21.61,554.47,2388.1,9047.83,1.3,47.41,521.61,2388.08,8132.25,8.4455,0.03,392,2388,100.0,38.88,23.1939
55,18,-0.0027,0.0003,100.0,518.67,642.59,1591.03,1403.35,14.62,21.61,553.15,2388.07,9049.0,1.3,47.34,521.83,2388.1,8134.26,8.4243,0.03,392,2388,100.0,38.93,23.4089
55,19,-0.0024,-0.0002,100.0,518.67,643.03,1589.11,1410.26,14.62,21.61,554.21,2388.02,9057.1,1.3,47.37,521.87,2388.08,8135.87,8.4019,0.03,391,2388,100.0,38.78,23.3245
