15,1,-0.0018,-0.0004,100.0,518.67,642.0,1576.75,1394.77,14.62,21.61,554.97,2388.02,9055.94,1.3,46.98,522.88,2388.0,8142.23,8.4102,0.03,391,2388,100.0,38.87,23.3903
15,2,0.0004,0.0004,100.0,518.67,642.14,1588.84,1394.27,14.62,21.61,554.18,2387.98,9066.05,1.3,47.08,522.82,2388.05,8142.66,8.4101,0.03,392,2388,100.0,39.12,23.4014
15,3,-0.002,-0.0001,100.0,518.67,642.05,1581.96,1395.53,14.62,21.61,554.55,2388.01,9053.7,1.3,47.18,522.62,2387.99,8140.42,8.3922,0.03,391,2388,100.0,38.89,23.4291
15,4,-0.0015,-0.0001,100.0,518.67,641.97,1587.35,1393.24,14.62,21.61,554.75,2387.96,9053.73,1.3,46.92,522.67,2388.0,8140.5,8.4142,0.03,392,2388,100.0,39.12,23.4905
15,5,0.0014,-0.0003,100.0,518.67,642.33,1584.7,1392.44,14.62,21.6,554.72,2388.07,9056.97,1.3,47.34,523.02,2388.0,8142.05,8.3915,0.03,390,2388,100.0,39.09,23.4482
15,6,-0.0006,-0.0003,100.0,518.67,641.81,1586.84,1395.7,14.62,21.61,554.47,2387.97,9061.09,1.3,47.15,522.62,2387.98,8141.56,8.3864,0.03,391,2388,100.0,39.14,23.5058
15,7,0.0027,-0.0005,100.0,518.67,642.41,1582.35,1393.78,14.62,21.61,553.71,2388.02,9060.13,1.3,47.3,522.29,2387.94,8144.41,8.3942,0.03,392,2388,100.0,39.26,23.4558
15,8,0.0003,-0.0,100.0,518.67,642.41,1582.04,1395.75,14.62,21.61,554.93,2387.97,9058.95,1.3,47.35,522.26,2387.97,8144.91,8.3968,0.03,391,2388,100.0,38.96,23.3113
15,9,0.0022,-0.0005,100.0,518.67,642.0,1580.24,1397.41,14.62,21.6,554.99,2388.09,9055.75,1.3,47.01,522.14,2387.99,8136.59,8.3748,0.03,392,2388,100.0,39.16,23.486
15,10,-0.0006,-0.0002,100.0,518.67,642.26,1584.19,1396.7,14.62,21.61,554.77,2387.94,9061.57,1.3,47.11,522.44,2388.03,8144.92,8.4223,0.03,391,2388,100.0,38.9,23.371
15,11,-0.0023,-0.0002,100.0,518.67,641.9,1585.36,1390.35,14.62,21.61,554.74,2388.0,9055.34,1.3,47.11,522.54,2388.01,8141.67,8.3967,0.03,390,2388,100.0,39.19,23.4066
15,12,-0.0016,-0.0005,100.0,518.67,642.11,1582.54,1402.78,14.62,21.6,555.21,2388.01,9049.29,1.3,47.1,522.38,2387.95,8139.11,8.3678,0.03,392,2388,100.0,39.1,23.3218
15,13,0.0015,-0.0003,100.0,518.67,642.21,1581.36,1395.44,14.62,21.6,555.21,2388.03,9056.72,1.3,47.23,522.53,2388.01,8142.24,8.4029,0.03,392,2388,100.0,39.01,23.4324
15,14,0.0015,-0.0002,100.0,518.67,641.66,1581.98,1400.45,14.62,21.61,554.01,2387.96,9058.73,1.3,47.22,522.08,2388.04,8140.28,8.3826,0.03,391,2388,100.0,39.03,23.5056
15,15,-0.002,-0.0001,100.0,518.67,642.01,1585.44,1401.33,14.62,21.61,554.81,2387.98,9057.64,1.3,47.06,522.39,2387.99,8135.05,8.3603,0.03,392,2388,100.0,38.86,23.3726
15,16,0.0011,0.0004,100.0,518.67,641.71,1579.91,1406.45,14.62,21.61,554.47,2387.95,9056.07,1.3,47.16,522.54,2388.04,8137.87,8.3792,0.03,391,2388,100.0,39.01,23.5067
15,17,0.0009,0.0001,100.0,518.67,641.81,1581.88,1392.92,14.62,21.61,555.16,2387.97,9057.4,1.3,47.12,522.21,2388.03,8144.71,8.3948,0.03,390,2388,100.0,39.01,23.4125
15,18,-0.0042,0.0005,100.0,518.67,641.86,1579.26,1390.03,14.62,21.61,554.27,2387.98,9060.55,1.3,47.14,522.77,2387.98,8137.89,8.3908,0.03,392,2388,100.0,39.11,23.4096
15,19,-0.0029,0.0,100.0,518.67,642.2,1590.89,1391.23,14.62,21.61,555.09,2387.96,9054.19,1.3,47.2,521.77,2387.98,8139.13,8.3592,0.03,392,2388,100.0,38.94,23.4053
15,20,-0.0027,0.0003,100.0,518.67,641.73,1583.08,1392.71,14.62,21.61,554.48,2388.0,9063.05,1.3,47.17,522.94,2388.02,8143.76,8.4075,0.03,391,2388,100.0,39.02,23.4697
15,21,0.0002,0.0003,100.0,518.67,642.51,1576.58,1395.29,14.62,21.6,554.48,2387.98,9056.38,1.3,47.14,522.62,2388.01,8144.26,8.3991,0.03,392,2388,100.0,39.0,23.4136
15,22,-0.0012,0.0001,100.0,518.67,641.84,1578.51,1396.75,14.62,21.61,554.36,2388.0,9063.28,1.3,47.2,522.28,2388.0,8139.67,8.4158,0.03,391,2388,100.0,39.0,23.3403
15,23,-0.0007,0.0004,100.0,518.67,641.96,1577.75,1395.0,14.62,21.61,554.54,2388.03,9058.67,1.3,47.19,522.05,2388.01,8143.08,8.3967,0.03,392,2388,100.0,39.0,23.4621
15,24,0.0016,0.0002,100.0,518.67,642.45,1589.29,1397.04,14.62,21.6,555.26,2387.97,9045.91,1.3,47.11,522.87,2388.0,8142.61,8.3978,0.03,392,2388,100.0,39.03,23.4335
15,25,-0.0006,-0.0002,100.0,518.67,642.4,1587.75,1398.65,14.62,21.61,555.19,2388.03,9056.4,1.3,47.17,522.68,2388.04,8138.16,8.4046,0.03,391,2388,100.0,39.13,23.4505
15,26,0.0015,-0.0,100.0,518.67,642.17,1582.05,1397.76,14.62,21.61,554.7,2388.01,9058.25,1.3,46.99,522.62,2387.99,8142.24,8.3955,0.03,392,2388,100.0,39.12,23.3932
15,27,-0.0011,-0.0001,100.0,518.67,642.07,1588.41,1406.57,14.62,21.61,554.82,2388.07,9052.26,1.3,47.19,522.23,2388.01,8139.01,8.417,0.03,390,2388,100.0,38.99,23.3395
15,28,-0.0028,0.0,100.0,518.67,641.91,1589.8,1392.82,14.62,21.61,555.27,2388.02,9059.8,1.3,47.13,523.05,2387.99,8141.19,8.3697,0.03,391,2388,100.0,39.11,23.4034
15,29,0.0052,0.0003,100.0,518.67,641.79,1582.38,1389.69,14.62,21.61,554.7,2387.98,9054.31,1.3,47.29,522.58,2387.99,8142.6,8.3781,0.03,392,2388,100.0,38.86,23.3724
15,30,-0.0004,-0.0003,100.0,518.67,642.24,1574.15,1396.49,14.62,21.61,555.14,2388.0,9054.65,1.3,47.06,523.06,2388.03,8143.79,8.3799,0.03,392,2388,100.0,39.27,23.3407
