Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
13290,Vistara,UK-963,Delhi,Morning,one,Evening,Bangalore,Economy,10.42,18,4896
13291,Vistara,UK-943,Delhi,Early_Morning,one,Evening,Bangalore,Economy,11.75,18,4896
13292,Vistara,UK-963,Delhi,Morning,one,Night,Bangalore,Economy,12.08,18,4896
13293,Vistara,UK-977,Delhi,Evening,one,Early_Morning,Bangalore,Economy,12.83,18,4896
13294,Air_India,AI-473,Delhi,Evening,one,Afternoon,Bangalore,Economy,19.67,18,4728
13295,Air_India,AI-877,Delhi,Morning,one,Afternoon,Bangalore,Economy,27.33,18,4728
13296,Indigo,6E-369,Delhi,Night,one,Early_Morning,Bangalore,Economy,10.0,18,4740
13297,Indigo,6E-2769,Delhi,Morning,one,Afternoon,Bangalore,Economy,6.25,18,4830
13298,Air_India,AI-805,Delhi,Evening,one,Morning,Bangalore,Economy,15.17,18,4965
13299,Air_India,AI-805,Delhi,Evening,one,Evening,Bangalore,Economy,22.5,18,4965
13300,Air_India,AI-877,Delhi,Morning,one,Evening,Bangalore,Economy,6.08,18,5071
13301,Air_India,AI-423,Delhi,Early_Morning,one,Evening,Bangalore,Economy,12.25,18,5071
13302,Air_India,AI-811,Delhi,Evening,one,Night,Bangalore,Economy,27.25,18,5099
13303,SpiceJet,SG-8721,Delhi,Early_Morning,one,Night,Bangalore,Economy,13.92,18,5168
13304,AirAsia,I5-798,Delhi,Afternoon,one,Night,Bangalore,Economy,11.17,18,5220
13305,AirAsia,I5-775,Delhi,Afternoon,one,Night,Bangalore,Economy,11.5,18,5220
13306,AirAsia,I5-792,Delhi,Afternoon,one,Late_Night,Bangalore,Economy,11.58,18,5220
13307,AirAsia,I5-792,Delhi,Afternoon,one,Late_Night,Bangalore,Economy,12.0,18,5220
13308,Air_India,AI-9843,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,6.75,18,5383
13309,Indigo,6E-198,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,9.08,18,5399
13310,Air_India,AI-465,Delhi,Evening,one,Afternoon,Bangalore,Economy,23.17,18,5504
13311,Air_India,AI-512,Delhi,Afternoon,one,Afternoon,Bangalore,Economy,25.83,18,5504
13312,GO_FIRST,G8-2511,Delhi,Morning,one,Evening,Bangalore,Economy,5.42,18,5610
13313,GO_FIRST,G8-133,Delhi,Afternoon,one,Night,Bangalore,Economy,6.08,18,5610
13314,GO_FIRST,G8-143,Delhi,Morning,one,Evening,Bangalore,Economy,7.17,18,5610
13315,GO_FIRST,G8-7541,Delhi,Early_Morning,one,Evening,Bangalore,Economy,8.17,18,5610
13316,GO_FIRST,G8-231,Delhi,Afternoon,one,Night,Bangalore,Economy,8.17,18,5610
13317,SpiceJet,SG-8411,Delhi,Evening,one,Morning,Bangalore,Economy,13.5,18,5619
13318,SpiceJet,SG-3002,Delhi,Early_Morning,one,Night,Bangalore,Economy,15.0,18,5619
13319,SpiceJet,SG-8645,Delhi,Evening,one,Morning,Bangalore,Economy,16.67,18,5619
