Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
209040,Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Business,7.58,23,53164
209041,Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Business,9.17,23,53164
209042,Vistara,UK-801,Delhi,Morning,one,Night,Mumbai,Business,11.17,23,53164
209043,Vistara,UK-807,Delhi,Night,one,Morning,Mumbai,Business,11.58,23,53164
209044,Vistara,UK-801,Delhi,Morning,one,Night,Mumbai,Business,11.67,23,53164
209045,Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Business,12.17,23,53164
209046,Vistara,UK-809,Delhi,Evening,one,Morning,Mumbai,Business,12.42,23,53164
209047,Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Business,12.67,23,53164
209048,Vistara,UK-801,Delhi,Morning,one,Night,Mumbai,Business,12.75,23,53164
209049,Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Business,13.75,23,53164
209050,Air_India,AI-504,Delhi,Night,one,Night,Mumbai,Business,23.83,23,53164
209051,Air_India,AI-807,Delhi,Evening,one,Night,Mumbai,Business,27.75,23,53164
209052,Air_India,AI-485,Delhi,Early_Morning,one,Evening,Mumbai,Business,10.92,23,53299
209053,Vistara,UK-705,Delhi,Early_Morning,one,Afternoon,Mumbai,Business,5.5,23,59033
209054,Vistara,UK-737,Delhi,Afternoon,one,Night,Mumbai,Business,7.58,23,59033
209055,Vistara,UK-705,Delhi,Early_Morning,one,Night,Mumbai,Business,12.83,23,59033
209056,Air_India,AI-767,Delhi,Afternoon,one,Night,Mumbai,Business,7.92,23,59033
209057,Air_India,AI-401,Delhi,Early_Morning,one,Night,Mumbai,Business,13.25,23,59033
209058,Air_India,AI-762,Delhi,Night,one,Evening,Mumbai,Business,21.58,23,59033
209059,Air_India,AI-762,Delhi,Night,one,Night,Mumbai,Business,23.83,23,59033
209060,Air_India,AI-764,Delhi,Evening,one,Evening,Mumbai,Business,24.92,23,59033
209061,Air_India,AI-764,Delhi,Evening,one,Night,Mumbai,Business,27.17,23,59033
209062,Vistara,UK-707,Delhi,Evening,one,Night,Mumbai,Business,6.0,23,60713
209063,Vistara,UK-747,Delhi,Early_Morning,one,Afternoon,Mumbai,Business,6.5,23,70793
209064,Vistara,UK-747,Delhi,Early_Morning,one,Night,Mumbai,Business,13.83,23,70793
209065,Vistara,UK-951,Delhi,Afternoon,zero,Evening,Mumbai,Business,2.17,24,22152
209066,Vistara,UK-953,Delhi,Night,zero,Night,Mumbai,Business,2.17,24,22152
209067,Air_India,AI-868,Delhi,Evening,zero,Evening,Mumbai,Business,2.0,24,22152
209068,Air_India,AI-887,Delhi,Early_Morning,zero,Morning,Mumbai,Business,2.08,24,22152
209069,Air_India,AI-665,Delhi,Early_Morning,zero,Morning,Mumbai,Business,2.17,24,22152
